"STN","meanTEMP","meanDEWP","meanSTP","meanWSDP"
"690190",52.4300933908046,29.1068965517241,951.475862068966,10.4655172413793
"720110",85.2768318965517,39.5862068965517,977.627586206897,5.26034482758621
"720151",53.2713577586207,16.7172413793103,868.175862068966,9.40344827586207
"720261",51.5046982758621,32.8258620689655,985.242857142857,7.1448275862069
"720269",68.675987654321,51.6759259259259,1011.33333333333,7.44444444444444
"720271",72.7193606321839,20.0568965517241,925.468965517241,9.82931034482759
"720273",62.7530531609195,52.5275862068966,1016.12962962963,8.08965517241379
"720276",71.4777083333333,54.7120689655172,1012.74642857143,9.06379310344828
"720281",47.6712787356322,26.0293103448276,969.948275862069,8.69827586206897
"720286",86.585775862069,35.2844827586207,988.260714285714,7.32068965517241
"720287",49.617507183908,32.5224137931034,989,9.76206896551724
"720291",52.5245833333333,36.5189655172414,1000.24827586207,8.44655172413793
"720295",53.7920402298851,38.75,991.517857142857,9.83620689655172
"720296",55.9944252873563,47.3344827586207,1010.93214285714,3.95689655172414
"720298",55.1280890804598,41.098275862069,992.765517241379,6.78620689655172
"720299",51.7482183908046,37.5293103448276,990.471428571429,8.46551724137931
"720302",50.8459913793103,35.9655172413793,1000.57931034483,5.38620689655172
"720303",56.9297557471264,44.1120689655172,1006.80714285714,6.92241379310345
"720305",51.7244396551724,31.0034482758621,977.807142857143,8.97241379310345
"720311",52.7805459770115,36.748275862069,1003.8275862069,7.28275862068966
"720314",55.449525862069,40.6551724137931,1002.22142857143,6.42413793103448
"720315",55.1661925287356,23.0431034482759,911.920689655172,9.9
"720316",64.9614583333333,50.8965517241379,1013.05862068966,9.91206896551724
"720318",83.0655890804598,28.7379310344828,974.735714285714,6.78965517241379
"720320",68.2307686781609,38.2620689655172,985.75,9.27758620689655
"720323",71.0614942528736,39.4293103448276,956.272413793104,6.06379310344828
"722008",64.3760488505747,56.7103448275862,1018.524,8.84655172413793
"722042",56.4632291666667,46.3333333333333,999.366666666667,7.38333333333333
"722094",54.9987140804598,36.7913793103448,994.889655172414,7.88103448275862
"722107",51.2771120689655,21.5103448275862,900.020689655172,8.39310344827586
"722112",53.2412946428571,40.5589285714286,1002.62592592593,6.17857142857143
"722122",65.1365229885057,23.8931034482759,929.58275862069,9.31034482758621
"722143",51.9027729885057,39.0965517241379,998.353571428571,7.20172413793103
"722159",70.8935704022988,57.8362068965517,1013.2724137931,8.9948275862069
"722169",103.594798850575,17.5051724137931,923.548275862069,6.82586206896552
"722174",45.4718175287356,20.4224137931034,896.748275862069,9.69655172413793
"722192",54.4574137931034,24.8465517241379,931.579310344828,10.7706896551724
"722202",61.3786997126437,39.1775862068965,982.131034482759,6.32413793103448
"722209",65.4851867816092,54.0431034482759,1016.06071428571,9.09137931034483
"722214",55.9765948275862,21.051724137931,885.68275862069,9.96724137931034
"722324",55.931558908046,21.9706896551724,917.103448275862,8.7551724137931
"722338",68.9104454022988,48.0448275862069,991.610344827586,7.6051724137931
"722351",62.0192887931034,51.5,1014.11071428571,7.55862068965517
"722362",52.9118103448276,37.4620689655172,999.466666666667,7.75
"722363",58.1133908045977,36.6379310344828,933.965517241379,8.35294117647059
"722410",59.8382471264368,48.1310344827586,1017.10344827586,8.97241379310345
"722416",61.3450287356322,41.7034482758621,992.864285714286,7.94827586206897
"722420",61.8168534482759,52.6413793103448,1018.692,9.85862068965517
"722427",62.9429751461988,49.7754385964912,1016.23793103448,6.49824561403509
"722429",60.962808908046,47.0931034482759,1011.54482758621,5.96379310344828
"722430",60.6653304597701,47.9310344827586,1013.80740740741,7.66551724137931
"722435",62.8412212643678,49.5,1015.58275862069,7.59310344827586
"722436",61.3375735294118,51.0960784313725,1017.95238095238,7.61960784313726
"722444",58.7486350574713,46.5724137931035,1007.97931034483,6.24310344827586
"722445",59.4633189655172,45.2586206896552,1005.21071428571,8.26551724137931
"722446",57.1774568965517,43.0793103448276,1006.03571428571,6.69655172413793
"722447",58.8313146551724,45.0810344827586,1003.71724137931,6.02931034482759
"722448",54.2661063218391,38.2586206896552,997.239285714286,8.96896551724138
"722469",54.9417528735632,39.8448275862069,1000.39285714286,9.22758620689655
"722470",54.2111063218391,39.0344827586207,1003.43793103448,8.25862068965517
"722479",53.7702011494253,35.4362068965517,993.393103448276,9.47931034482759
"722489",53.1327514367816,37.701724137931,999.440740740741,8.10172413793103
"722499",55.7146623563218,42.9965517241379,1004.86428571429,6.57586206896552
"722500",68.7661350574713,58.251724137931,1014.99310344828,10.7758620689655
"722505",69.4288936781609,56.4551724137931,1014.09310344828,11.6137931034483
"722506",71.4648706896552,54.1793103448276,1011.45862068966,10.0620689655172
"722510",66.058117816092,53.9206896551724,1014.48620689655,11.3448275862069
"722515",67.0748706896552,55.9379310344828,1016.05769230769,11.4275862068966
"722516",67.1261781609195,52.9689655172414,1014.176,8.93793103448276
"722517",66.9173706896552,50.7551724137931,1009.04137931034,8.47241379310345
"722523",63.4889798850575,42.5551724137931,995.062068965517,6.56551724137931
"722524",64.3608692528736,55.4862068965517,1016.78,8.27758620689655
"722526",65.9771982758621,44.1206896551724,998.153571428571,6.50689655172414
"722527",60.839841954023,52.6706896551724,1016.63793103448,7.47758620689655
"722530",62.5330459770115,42.8689655172414,987.075862068966,7.69655172413793
"722533",78.2444540229885,39.9862068965517,983.272413793103,7.3448275862069
"722535",63.0965014367816,43.3706896551724,991.089655172414,7.26724137931035
"722536",62.5482614942529,43.6293103448276,988.696551724138,7.52241379310345
"722537",71.8249568965517,39.598275862069,958.764285714286,6.25689655172414
"722539",60.5903879310345,40.4259259259259,995.41724137931,9.10689655172414
"722540",68.6127442528736,41.8931034482759,998.632142857143,7.93103448275862
