V1
1993,Drama,Mystery,Romance,Miguel Crcega,Rafael Snchez Navarro
1997,Comedy,Jardel Filho,Magalhes Graa,Zbigniew Ziembinski,Procpio Ferreira
1990,Drama,Fantasy,Stephan Jahnke,Gerry Wolff,Manfred Krug
1990,Comedy,Drama,Romance,Rudolf Hrusnsk,Vlastimil Brodsk,Vclav Neckr
Petr Forman,Vlastimil Zavrel
1991,Action,Drama,Cheuk-Nin Cho,Benjamin Chan,Tao Chiang,Kiu Wai Miu,Alex Man,Bing Chan Cheung
1994,Documentary
1993,Comedy,Crime,Drama,Joe Pantoliano,Alex Zuckerman,Danny Aiello
1990,Drama,Family,Fantasy,Tchky Karyo,Paul Klerk,Christopher Forrest
1991,Drama,Joe Moore,James Hong
1993,Comedy,Drama,Fantasy,Mark Cheng,Wu Ma,Shun Lau
1993,Biography,Documentary,History,Diogo Dria
1991,Action,Comedy,Fantasy,Phillip Ko,Ching-Ying Lam,Fui-On Shing,Gabriel Wong,Anthony Chau-Sang Wong
1992,Documentary
1990,Comedy,Drama,Mustapha Adouani,Mohammed Driss,Selim Boughedir
1990,Crime,Chris Haywood,Vincent Ball,Russell Kiefel,John Polson
1990,Action,Aldo Sambrell,Giuliano Trujillos,Draguy Steiner,Alex Aparissi
1990,Comedy,Nuno Leal Maia,Herson Capri
Fabio Testi,Joaqun Hinojosa
1991,Crime,Drama,Musical,Ganesh Kumar,Shanker,Mohanlal,Jagadish,Cochin Hanifa
1990,Mystery,Robert E. Thompson,Tommy Hollis,Melvin Shepherd
1990,Action,B. Bob
1998,Documentary,Music
1990,Drama,Fantasy,Julio Alemn,Carlos Rotzinger,Jos Natera
1991,Comedy,Horror,Ronald Wong,Ching-Ying Lam,Siu-Ho Chin
1990,Drama,John Vernon,Joe Cortese,Nick Cassavetes
Luowen Cui,Jiming Chen,Long Zhou,Yisong Cui,Rongquan Jia,Yuming Du,Xiaojian Xu
1990,Action,Thriller,War,Brand Dury,Daniel Greene,George H. Thausanij
1991,Documentary
1990,Action,Wai-Lim Chu,Bruce Fontaine,Joe Bryan Baker,Billy Chow,Chuen-Yee Cha
1991,Documentary,Mario Offenberg,Rolf Langebartels
1990,Drama,John Savage,William Hickey,Michael Lerner
Helmut Bernhoffen,Hermann Luther,Fritz Bachschmidt,Jockel Tschiersch,Dieter Kursawe,Dominik Bender
1991,Action,Drama,Jaime Keller,Daniel Gimnez Cacho,Alfonso Arau,Pedro Armendriz Jr.
1991,Drama,Romance,Dado Ruspoli,Enzo Cannavale
1990,Action,Thriller,Ray Lui,Phillip Ko,Collin Cheung,Lee Chun-Wa,Mike Abbott
1990,Comedy,Fantasy,Wong Chun,Kai Chi Liu
1991,Drama,William Windom,Ron Palillo,Robert Forster
1991,Action,Jameson Parker,Mike Lane,David Sherwood
1990,Horror,Mystery,Lino Salemme,Brett Halsey
1990,Comedy,Norman Bowler,Mark Burns
1990,Action,Crime,William Smith,Charlie Ganis,Alex D'Andrea,Adrian Drake
1990,Action,Crime,Drama
1995,Drama,Dick Wei,Phillip Ko
1991,Adventure,Drama,Cosme Cortzar,Alexander Milic
1991,Drama,Tony Ka Fai Leung,Koon-Chung Chan,John Sham
1990,Crime,Drama,Lukas Ammann,Inigo Gallo
1990,Crime,Drama,Thriller,Simon Molloy,Martin Shaw,Bob Peck
1992,Drama,Pierre-Loup Rajot
1990,Action,Drama,Joseph Culp,Peter Kowanko
Jos Roberto Hill,Emilio Echevarra,Roberto Cobo,David Beuchot,Valdiri Duran
1990,Action,Comedy,Crime,Jeffrey Culver,Roger Rodd
1990,Comedy,Horror,David Neal Evans,Craig Derrick,Todd Eastland,Dennis Sullivan
1990,Adventure,Drama,Family,Tim Battle,Jackson Cole,Daniel Libman
